name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
PCAGA,ADVANTECH,SBC,False,x86,4,INTEL,6W,"Dual-channel non-ECC UDIMM DDR4, Max 32GB",1GB,12V,"['USB', 'Ethernet', 'VGA', 'PS/2', 'COM', 'IrDA', 'GPIO']",Robust wireless connectivity for remote and mobile embedded applications,Wind River VxWorks and X-ES Enterprise Linux (XEL),60°C,0°C,"CE, FCC",Advantech PCAGA is a single board computer supporting Intel Core processors with dual display capabilities.,"The Advantech PCAGA is a versatile single board computer designed for industrial applications, supporting Intel Core processors, dual-channel DDR4 memory, and a variety of I/O interfaces including USB, Ethernet, and VGA.","Advantech PCAGA is a single board computer featuring support for Intel Core i3/i5/i7 processors, dual-channel non-ECC DDR4 memory up to 32GB, and a range of I/O options including USB, Ethernet, VGA, and more. It is designed for robust industrial applications with a focus on flexibility and performance.","['Industrial automation', 'Embedded systems', 'Digital signage']"
SOM,ADVANTECH,COM EXPRESS TYPE 6 COMPACT,False,X86,4,INTEL,6W,Up to 8GB DDR3L SODIMM,"Optional MLC 8GB, SLC 4GB",12V,['Not Available'],,"['Windows Embedded Standard', 'Linux']",60°C,-40°C,CE,"Compact COM Express module with Intel Atom/Celeron processor, supporting up to 8GB DDR3L memory.","The SOM is a COM Express Type 6 Compact module featuring Intel Atom/Celeron processors, supporting dual-channel DDR3L memory, multiple display interfaces, and optional onboard storage.","The SOM COM Express Compact Module is designed for embedded applications, featuring Intel Atom/Celeron processors with up to 8GB DDR3L memory support. It offers multiple display outputs including HDMI, DisplayPort, and LVDS, and provides optional onboard storage solutions. The module supports a wide operating temperature range and is suitable for various industrial applications.","['Embedded Systems', 'Industrial Automation', 'Digital Signage']"
HUMMINGBOARD T,SOLIDRUN,SBC,False,ARM,2,TI,,2 GB DDR3,8 GB eMMC,12V,"['USB Type A, CANFD, RS, GPIO, SPI, I2C']",LTE supported via M.2 slot,Optimized BSP,70°C,-40°C,,HummingBoard T is designed for industrial applications with real-time processing and multiprotocol industrial Ethernet support.,"The HummingBoard T features a TI Sitara AM processor with dual-core ARM Cortex-A9, supporting industrial protocols and real-time processing. It includes multiple I/O options and expansion capabilities.","HummingBoard T is equipped with a TI Sitara AM processor, dual-core ARM Cortex-A9, and supports industrial protocols like TSN, EtherCAT, PROFINET, and EtherNet/IP. It offers 2 GB DDR3 memory, optional 8 GB eMMC storage, and various I/O interfaces including USB, CANFD, and RS. The board supports LTE via an M.2 slot and operates within a temperature range of -40°C to 70°C.","Industrial applications, real-time processing, multiprotocol industrial Ethernet."
CLEARFOG CN PRO,SOLIDRUN,SBC,False,ARM,Quad core,MARVELL,,Up to 16 GB DDR4,8 GB eMMC,12V,"['USB, Ethernet, SFP, Micro USB, JTAG']",,Linux,70°C,0°C,,"ClearFog CN Pro is a powerful SBC with Marvell OCTEON CN processor, supporting up to 16 GB DDR4 memory and 8 GB eMMC storage.","The ClearFog CN Pro is designed for commercial applications, featuring a Marvell OCTEON CN Quad core ARM Cortex-A processor, up to 16 GB DDR4 memory, and 8 GB eMMC storage. It supports various I/O interfaces including USB, Ethernet, and SFP.","ClearFog CN Pro is a robust single-board computer (SBC) powered by a Marvell OCTEON CN Quad core ARM Cortex-A processor. It offers up to 16 GB of DDR4 memory and 8 GB of eMMC storage. The board includes multiple I/O options such as USB, Ethernet, SFP, and Micro USB, making it suitable for a wide range of applications. It operates within a commercial temperature range of 0°C to 70°C.",Commercial applications requiring robust processing and versatile I/O options.
QAI,SECO,QSEVEN,False,X86,4,INTEL,10W,8GB Dual-Channel DDR3L 1333MHz,Optional eMMC Drive soldered onboard,12VDC,"['USB 3, PCIe 4, SATA 2, Ethernet 1, HDMI 1, DisplayPort 1, LVDS 1']",Wi-Fi + BT 5.0,"['Microsoft Windows 10', 'Microsoft Windows 8.1', 'Microsoft Windows 7', 'Microsoft Windows IoT', 'Microsoft Windows Embedded Standard 7', 'Microsoft Windows Embedded Compact', 'Linux 64-bit', 'Yocto']",85°C,-40°C,"ISO/IEC 17065, ISO/IEC 17025, ISO/IEC 17020, NRTL by OSHA","Qseven standard module with Intel Atom E and Celeron processors, featuring dual-channel DDR3L memory and multiple I/O interfaces.","The SECO QAI is a Qseven standard module powered by Intel Atom E and Celeron families, offering robust performance with up to quad-core processors and integrated Intel HD Graphics. It supports dual independent display outputs and a wide range of I/O interfaces, making it suitable for industrial automation and portable devices.","The SECO QAI module is designed for industrial applications, featuring Intel Atom E and Celeron processors with up to 4 cores and 10W TDP. It includes dual-channel DDR3L memory, optional eMMC storage, and supports a variety of interfaces such as USB, PCIe, SATA, and Ethernet. The module is capable of operating in extreme temperatures, making it ideal for harsh environments.","['HMI', 'Industrial Automation Control', 'In-vehicle infotainment systems', 'Portable Devices']"
CUBIETRUCK,CUBIETEAM,SINGLEBOARD COMPUTER,True,ARM,2,ALLWINNER TECH,,2 GB DDR3,"NAND, MicroSD",5V,"['USB x4, HDMI, VGA, Ethernet, SATA, SPDIF, IR, GPIO']","Wi-Fi, Bluetooth","['Linux', 'Android', 'Fedora']",,,,Cubietruck is a dual-core single-board computer with enhanced features for students and hackers.,"Cubietruck, also known as Cubieboard 3, is equipped with an Allwinner A20 SoC, 2GB DDR3 RAM, and supports various interfaces including HDMI, VGA, and SATA.","The Cubietruck is a versatile single-board computer featuring an Allwinner A20 dual-core processor, 2GB DDR3 RAM, and a range of connectivity options including Wi-Fi, Bluetooth, HDMI, VGA, and SATA. It supports Linux and Android operating systems, making it suitable for both educational and development purposes.","['Educational purposes', 'Software development', 'Hardware hacking']"
TURBO G MODULE,EUROTECH,SMALL FORM FACTOR,False,ARM,6,FREESCALE,65 W,"64 MB MOBILE DDR, EXPANDABLE TO 128 MB","64 MB FLASH, EXPANDABLE TO 128 MB",3.3V,"['One 10/100 BASE-T Ethernet port', 'One CAN interface', 'Two PWM interfaces', 'One I2C interface', 'One SPI interface', 'One LCD interface', 'One Camera Sensor interface', 'One USB host port', 'One USB On-the-Go (OTG) port', 'Stereo audio interface', 'Seven GPIO', 'Five digital inputs', 'One digital output', 'One 4x4 keypad interface', 'Four UART interfaces', 'One CompactFlash slot', 'One SD/MMC card slot']","['Zigbee', 'GPS', '802.11b/g embedded wireless module']","['Windows CE', 'Linux']",60°C,5°C,RoHS compliant,"Low-cost, high-performance embedded module with Freescale iMX processor, ideal for multimedia applications.","The Turbo G Module is a low-power, small form factor embedded computer-on-module featuring a Freescale iMX processor with hardware vector floating point and high-end graphics capabilities, supporting OpenGLES and Direct3D Mobile for multimedia applications.","The Turbo G Module, manufactured by Eurotech, is a compact embedded system designed for high-performance multimedia applications. It features a Freescale iMX processor with vector floating point coprocessor, hardware video acceleration, and support for OpenGLES and Direct3D Mobile. The module includes 64 MB of Mobile DDR RAM, expandable to 128 MB, and 64 MB of Flash storage, also expandable to 128 MB. It operates on a 3.3V supply and offers a wide range of I/O interfaces, including Ethernet, CAN, USB, and more. The module is RoHS compliant and supports both Windows CE and Linux operating systems.","['Embedded applications', 'Handheld devices', 'Transportation infotainment']"
EMETXEIMUE,ARBOR TECHNOLOGY,COM EXPRESS,True,x86,Quad- or dual-core,INTEL,12-28W,Up to 8GB DDR3 SDRAM,Up to 32 GB of NAND flash,12V,"['12 USB ports, 2 UART ports, 2 SATA ports']",Support for wireless technologies including WLAN and Bluetooth,"Wind River VxWorks, Linux, Microsoft Windows",60°C,-40°C,"ISO 9001, ISO 13485, ISO 14971, IEC/EN 60601-1 (Edition 3.1), IEC/EN 60601-1-2 (Edition 4th), UL60601-1, FDA, CE, FCC",Intel 2nd Gen COM Express Basic Type CPU Module with extended operating temperature.,"The EMETXEIMUE is a COM Express Basic Type CPU Module featuring soldered onboard 2nd Gen Intel Core i7/i5/i3/Celeron processors, integrated Gigabit Ethernet, dual channels 18/24-bit LVDS, and support for dual independent displays.","The EMETXEIMUE module is designed for industrial applications requiring robust performance and reliability. It supports Intel's 2nd Gen Core processors, offers dual-channel DDR3 memory support, and features a range of I/O options including PCIe, SATA, and USB ports. The module is suitable for extended temperature environments, making it ideal for harsh industrial conditions.","Industrial automation, embedded systems, and harsh environment computing."
EMETXEI,ARBOR TECHNOLOGY,COM EXPRESS,True,x86,2,INTEL,15W,DDR2 SODIMM socket supporting up to 2GB,,8.5V~20V,"['4 USB ports, 4 PCIe x1 lanes, 1 PCIe x16 lane, 1 PCI master, 1 LPC interface, 2 Serial ATA ports']",,,60°C,-40°C,RoHS,The EmETXei is a COM Express Basic Type CPU Module supporting Intel Core Duo processors with integrated Gigabit Ethernet and extended operating temperature range.,"The EmETXei module features support for Intel Socket M Mobile Processors, integrated Gigabit Ethernet, dual channel DDR2 memory, and extended operating temperature capabilities. It is designed for evaluation purposes with a variety of I/O interfaces.","The EmETXei is a COM Express Basic Type CPU Module that supports Intel Core Duo and Celeron M processors. It includes integrated Gigabit Ethernet, dual channel DDR2 memory support, and a range of I/O interfaces including USB, PCIe, and SATA. The module is designed for extended temperature operation, making it suitable for industrial applications.",Industrial applications requiring extended temperature operation and evaluation purposes.
AMD RYZEN EMBEDDED V SERIES MINIITX MOTHERBOARD,IBASE,MINI-ITX,False,X86,8,AMD,10W to 54W,"DDR4 SODIMM, supports ECC, Max 32GB",M.2 supports NVMe,12V DC,"['2x PCIe', '1x Mini PCIe', '1x M.2 M-key', '4x USB', '2x SATA III', '2x COM', '2x Gigabit LAN']",,,60°C,0°C,"EN50155, EN45545, E-mark","Mini-ITX motherboard with AMD Ryzen Embedded V Series APU, supporting DDR4 SODIMM, PCIe, and dual Gigabit LAN.","The AMD Ryzen Embedded V Series Mini-ITX motherboard features an AMD Ryzen Embedded V Series APU, DDR4 SODIMM support with ECC, multiple PCIe slots, dual Gigabit LAN, and various video outputs including HDMI, DisplayPort, and LVDS.","This Mini-ITX motherboard is equipped with an AMD Ryzen Embedded V Series APU, offering robust performance for industrial applications. It supports up to 32GB of DDR4 SODIMM memory with ECC, features multiple expansion slots including PCIe and M.2, and provides a range of I/O options such as USB, SATA III, and COM ports. The board also includes integrated AMD Radeon Vega graphics with multiple video output options.","Industrial automation, digital signage, and embedded systems."
JN CARRIER BOARD,AUVIDEA GMBH,COMPACT,False,ARM,4,NVIDIA,,,"SD card, eMMC",5V,"['HDMI, USB, CSI, Display Port']",LM823 WIFI module,,70°C,0°C,,Compact carrier board for NVIDIA Jetson Nano with high computational performance.,"The JN Carrier Board is designed for the NVIDIA Jetson Nano, offering a compact and cost-effective solution with high computational performance, suitable for industrial AI applications.","The JN Carrier Board transforms the NVIDIA Jetson Nano compute module into a super mini computer, featuring a quad-core ARM Cortex-A processor and NVIDIA Maxwell GPU. It supports high-performance storage options like M.2 NVMe and offers various I/O interfaces including HDMI, USB, and Display Port. Designed for easy integration with an aluminum case, it is ideal for industrial AI applications and digital signage systems.","Industrial AI computers, digital signage systems"
WSBH,IEI,Fullsize PICMG,False,x86,,Intel,35W,"Two DDR3/DDR3L SDRAM DIMM slots, up to 16GB",mSATA,12V,"['2 x RJ45', '6 x USB', '1 x VGA', '2 x SATA 6Gb/s', '1 x PCIe Mini slot', '1 x LPT', '4 x RS-232', '1 x TPM', '1 x SMBus']",,UEFI BIOS,60°C,0°C,RoHS,"Full-size PICMG CPU card with Intel Core i3/i5/i7, Pentium, Celeron support, dual-channel DDR3/DDR3L, dual Intel GbE, and multiple I/O interfaces.","The WSBH is a full-size PICMG CPU card supporting LGA Intel Core i3/i5/i7, Pentium, and Celeron processors with Intel H chipset. It features dual-channel DDR3/DDR3L SDRAM, dual independent display outputs, dual Intel Gigabit Ethernet, and extensive I/O options including USB, SATA, PCIe Mini, and more.","The WSBH single board computer is designed for industrial applications, offering robust performance with support for LGA Intel Core i3/i5/i7, Pentium, and Celeron processors. It includes dual-channel DDR3/DDR3L memory slots supporting up to 16GB, dual independent display outputs via VGA and iDP, and dual Intel Gigabit Ethernet controllers. The board provides a wide range of I/O interfaces including USB, SATA, PCIe Mini, RS-232, and TPM for enhanced security. It is compliant with RoHS standards and features a UEFI BIOS for flexible system configuration.","['Industrial automation', 'Embedded systems', 'Network appliances', 'Digital signage']"
ASMBGAE,ADVANTECH,ATX,False,x86,up to 16 cores,INTEL,95W,"DDR4 ECC/Non-ECC, up to 128GB",eMMC,+12V/+5V/+3.3V/+5Vsb/-12V/12V_8P,"['Four USB ports', 'Quad LANs', 'PCIe slots']",Wi-Fi 6E support,"Linux, Android, Ubuntu",60° C,0° C,CE/FCC,ATX server board supporting Intel Xeon and Core processors with quad LAN and multiple PCIe slots.,"The ASMBGAE is an ATX server board designed for Intel Xeon E and Core processors, featuring quad LAN capabilities, multiple PCIe slots, and support for DDR4 ECC/Non-ECC memory.","The ASMBGAE server board by Advantech supports Intel Xeon E and Core processors, offering robust performance with its ATX form factor. It includes quad LAN ports for enhanced networking, multiple PCIe slots for expansion, and supports up to 128GB of DDR4 ECC/Non-ECC memory. The board is equipped with Intel C chipset and provides various I/O options including USB ports and SATA interfaces.","Server applications, industrial computing, data centers"
PCEGAE,ADVANTECH,HALF-SIZE SHB,False,X86,10,INTEL,95W,"DUAL CHANNEL DDR3 ECC, UP TO 32GB",MSATA,"12V, 5V, 3.3V, 5VSB","['USB: 7', 'ETHERNET: 2', 'VGA', 'PS/2', 'SATA: 4', 'COM', 'PARALLEL', 'GPIO: 8-bit']","Wireless Modules, Wireless IoT Nodes & Extension Boards","Microsoft Windows Embedded, uBuntu",60°C,0°C,PICMG,"Half-size SHB with Intel Xeon support, dual GbE LAN, and triple display capability.","The PCEGAE is a half-size SHB supporting Intel Xeon E v3 series processors, dual channel DDR3 ECC memory, dual GbE LAN, and triple independent display outputs.","The PCEGAE features Intel Xeon E v3 series support, dual channel DDR3 ECC memory up to 32GB, dual GbE LAN, triple independent display outputs, and extensive I/O including USB, SATA, and COM ports. It is designed for industrial applications requiring robust performance and reliability.","Industrial applications, embedded systems, and high-performance computing."
